0 100 69 1 0.549312 0.000130289
0 100 69 2 0.386818 0.000147811
0 100 69 5 0.210603 0.00010153
0 100 69 10 0.122466 6.16617e-05
0 100 69 20 0.067817 3.89206e-05
0 100 69 50 0.0295707 1.68142e-05
0 100 69 100 0.0154168 1.06433e-05
0 100 69 200 0.00793712 7.07612e-06
0 100 69 500 0.00325577 2.78143e-06
0 100 69 1000 0.00164917 1.28861e-06
0 100 69 2000 0.000832968 5.1551e-07
0 100 69 5000 0.000337402 2.53012e-07
0 100 69 10000 0.000169027 9.80245e-08
0 100 99 1 0.586163 0.000164055
0 100 99 2 0.422531 0.000154866
0 100 99 5 0.236406 0.000102642
0 100 99 10 0.139287 0.000123215
0 100 99 20 0.0779616 6.199e-05
0 100 99 50 0.0342946 2.91484e-05
0 100 99 100 0.0179596 1.40666e-05
0 100 99 200 0.00927251 6.01028e-06
0 100 99 500 0.00381395 2.63857e-06
0 100 99 1000 0.00193446 1.32329e-06
0 100 99 2000 0.000978194 7.45321e-07
0 100 99 5000 0.000396496 2.88455e-07
0 100 99 10000 0.00019894 1.343e-07
1 100 10 1 0.504372 2.97213e-05
1 100 10 2 0.33869 8.59855e-06
1 100 10 5 0.172222 2.22508e-05
1 100 10 10 0.095745 8.04077e-06
1 100 10 20 0.0513113 6.10987e-06
1 100 10 50 0.0218256 3.87838e-06
1 100 10 100 0.0113022 3.41239e-06
1 100 10 200 0.00581542 2.49626e-06
1 100 10 500 0.00240059 2.02883e-06
1 100 10 1000 0.0012261 6.8942e-07
1 100 10 2000 0.000626025 6.21672e-07
1 100 10 5000 0.000257482 3.57636e-07
1 100 10 10000 0.000131944 1.01851e-07
1 100 20 1 0.515188 5.97928e-05
1 100 20 2 0.351081 5.95219e-05
1 100 20 5 0.183302 3.57581e-05
1 100 20 10 0.104188 3.01867e-05
1 100 20 20 0.0570529 1.83306e-05
1 100 20 50 0.0249052 1.10817e-05
1 100 20 100 0.0131128 8.63329e-06
1 100 20 200 0.00684702 5.52353e-06
1 100 20 500 0.00287627 3.42841e-06
1 100 20 1000 0.00148604 1.40604e-06
1 100 20 2000 0.000766274 1.31364e-06
1 100 20 5000 0.000319049 1.04429e-06
1 100 20 10000 0.000164575 6.39904e-07
1 100 30 1 0.530551 7.99494e-05
1 100 30 2 0.367464 4.36305e-05
1 100 30 5 0.196619 2.73018e-05
1 100 30 10 0.113799 1.36235e-05
1 100 30 20 0.0633182 8.89975e-06
1 100 30 50 0.0281753 8.47016e-06
1 100 30 100 0.0149984 5.55855e-06
1 100 30 200 0.00790743 2.53685e-06
1 100 30 500 0.00336325 1.46885e-06
1 100 30 1000 0.00175737 1.43092e-06
1 100 30 2000 0.000912491 1.04997e-06
1 100 30 5000 0.00038272 6.65489e-07
1 100 30 10000 0.000197975 3.568e-07
2 0.1 0.2 1 0.592432 0
2 0.1 0.2 2 0.420376 0
2 0.1 0.2 5 0.225254 0
2 0.1 0.2 10 0.127444 0
2 0.1 0.2 20 0.0685326 0
2 0.1 0.2 50 0.0291826 0
2 0.1 0.2 100 0.0152629 0
2 0.1 0.2 200 0.00810803 0
2 0.1 0.2 500 0.00369151 0
2 0.1 0.2 1000 0.00206528 0
2 0.1 0.2 2000 0.0011554 0
2 0.1 0.2 5000 0.000519931 0
2 0.1 0.2 10000 0.000277296 0
2 0.1 0.3 1 0.622207 0
2 0.1 0.3 2 0.454189 0
2 0.1 0.3 5 0.255091 0
2 0.1 0.3 10 0.151697 0
2 0.1 0.3 20 0.0875534 0
2 0.1 0.3 50 0.0420388 0
2 0.1 0.3 100 0.023951 0
2 0.1 0.3 200 0.0134046 0
2 0.1 0.3 500 0.00595795 0
2 0.1 0.3 1000 0.00317003 0
2 0.1 0.3 2000 0.00168131 0
2 0.1 0.3 5000 0.00074589 0
2 0.1 0.3 10000 0.000391287 0
2 0.1 0.5 1 0.675413 0
2 0.1 0.5 2 0.51891 0
2 0.1 0.5 5 0.320308 0
2 0.1 0.5 10 0.206352 0
2 0.1 0.5 20 0.127677 0
2 0.1 0.5 50 0.0646033 0
2 0.1 0.5 100 0.0376152 0
2 0.1 0.5 200 0.0216593 0
2 0.1 0.5 500 0.0102194 0
2 0.1 0.5 1000 0.00569243 0
2 0.1 0.5 2000 0.00313277 0
2 0.1 0.5 5000 0.00146582 0
2 0.1 0.5 10000 0.000776992 0
